Month,spot,ln(spot),GDP,ln(GDP),CPI,ln(CPI),M3,ln(M3),BoT,diff(rate)
Jan-99,0.3329,-1.099913134,130.6517801,4.872535617,1.806017019,0.591123879,367.0926091,5.905614157,36.2537497,-12.739
Feb-99,0.3268,-1.118406916,128.4316723,4.85539703,1.788948073,0.581627778,369.6615446,5.912587843,25.90084896,-12.231
Mar-99,0.3223,-1.13227249,127.0714089,4.844749203,1.787564092,0.580853851,368.0206581,5.908139073,246.3827446,-11.636
Apr-99,0.3195,-1.140998005,126.8680363,4.843147462,1.796702968,0.585953301,369.1485404,5.911199112,-35.62153581,-10.35
May-99,0.3133,-1.160594081,128.113173,4.852914037,1.796702968,0.585953301,362.0224122,5.891706122,33.43021057,-9.46
Jun-99,0.3142,-1.157725553,129.0006956,4.859817797,1.775283525,0.573960142,357.61391,5.879453941,54.29307073,-8.758
Jul-99,0.3315,-1.104127469,127.1123027,4.845070969,1.761767833,0.566317755,358.3777478,5.881587592,181.9208187,-7.929
Aug-99,0.3585,-1.025826619,121.4337296,4.799368679,1.764055345,0.567615332,355.0358637,5.872218809,11.02557711,-7.947
Sep-99,0.3845,-0.95581149,115.6934456,4.750943983,1.763219546,0.567141425,349.6128581,5.856826423,10.51128869,-8.074
Oct-99,0.3823,-0.961549638,113.5484327,4.732229466,1.760600393,0.565654883,351.5921701,5.862471896,12.0072362,-8.077
Nov-99,0.3896,-0.942634707,116.8400634,4.76080602,1.740687411,0.554280099,335.249133,5.814873936,7.973092131,-8.358
Dec-99,0.3938,-0.931912113,123.038842,4.812500094,1.735347879,0.5512079,311.0973484,5.74010588,33.73691674,-8.395
Jan-00,0.377,-0.975510092,128.2760889,4.854184886,1.67783573,0.517504707,331.5967798,5.803919712,69.3282431,-8.414
Feb-00,0.373,-0.986176859,128.2824524,4.854234492,1.667026482,0.51104149,339.1908333,5.826562879,24.48492577,-8.349
Mar-00,0.3896,-0.942634707,125.49951,4.832301854,1.67046011,0.513099104,330.8556053,5.801682042,38.95818719,-8.443
Apr-00,0.3881,-0.946492241,123.1843846,4.813682295,1.671075736,0.513467572,327.9495611,5.792859819,39.18885588,-8.259
May-00,0.4024,-0.91030866,123.7531112,4.818288542,1.669978248,0.512810601,333.4017313,5.809348163,10.12832257,-8.3
Jun-00,0.41,-0.891598119,125.2871825,4.830608562,1.655427239,0.504059126,326.4497997,5.788276184,11.33480012,-8.406
Jul-00,0.4103,-0.89086668,124.6846715,4.825787922,1.644836446,0.497640954,329.6558599,5.798049261,16.02575701,-8.398
Aug-00,0.4234,-0.85943792,120.233224,4.78943339,1.644445964,0.497403527,328.4330301,5.794332951,5.948325799,-8.426
Sep-00,0.4302,-0.843505062,115.3483208,4.747956427,1.637327017,0.493065045,326.2696155,5.787724081,21.2581505,-8.642
Oct-00,0.472,-0.750776293,113.6937423,4.733508362,1.623906304,0.484834546,322.9511133,5.77750096,11.00738184,-8.909
Nov-00,0.4483,-0.802292628,117.1900303,4.763796808,1.603130898,0.471958529,313.2751825,5.747081982,7.994577482,-15.297
Dec-00,0.4368,-0.828279855,123.3001636,4.814621737,1.597005984,0.468130616,301.3588085,5.70830161,5.649251681,-13.109
Jan-01,0.4264,-0.852377406,128.0451646,4.85238305,1.581674726,0.458484239,299.7167672,5.702837919,6.029323088,-11.728
Feb-01,0.4158,-0.877550904,127.1296751,4.845207629,1.57175836,0.452194967,303.4779063,5.715308811,23.56103245,-10.263
Mar-01,0.3992,-0.918292735,123.5700675,4.816808343,1.562657811,0.446388097,300.0875016,5.704074104,-47.0876774,-9.484
Apr-01,0.4131,-0.884065585,120.4595755,4.791314224,1.561794757,0.445835645,294.2575024,5.684455243,-6.690964663,-9.648
May-01,0.4204,-0.86654864,120.5133911,4.791760876,1.563408181,0.44686817,295.228643,5.687750117,-1.944868325,-9.24
Jun-01,0.4201,-0.867262501,121.6731347,4.801338225,1.545485747,0.43533826,293.6387092,5.682350131,-23.69153834,-8.506
Jul-01,0.4283,-0.847931394,120.7519173,4.793738171,1.531076769,0.425971258,299.7529081,5.702958496,-13.0203015,-8.628
Aug-01,0.4294,-0.845366394,115.9346203,4.753026414,1.533449254,0.427519612,300.7007048,5.706115434,-9.877918508,-9.258
Sep-01,0.4293,-0.845599304,110.6206673,4.706106937,1.529481105,0.424928531,299.8899379,5.703415534,-432.4614904,-9.405
Oct-01,0.4258,-0.853785527,108.4254706,4.68606303,1.524738527,0.421822938,299.8884435,5.70341055,10.03286268,-9.673
Nov-01,0.4227,-0.861092571,111.1464409,4.710848619,1.514498446,0.415084326,298.6681838,5.699333204,10.36755017,-9.445
Dec-01,0.3904,-0.940583424,116.4746214,4.757673407,1.505929007,0.409409988,287.6585326,5.661774126,18.07935435,-8.782
Jan-02,0.3853,-0.953733027,120.7994866,4.794132036,1.49587697,0.402712637,256.2913281,5.546314798,3.646647803,-7.784
Feb-02,0.3826,-0.960765222,120.2823263,4.789841699,1.485790858,0.395947195,253.2804856,5.534497513,80.60256679,-7.085
Mar-02,0.3846,-0.955551446,117.5973638,4.767266618,1.482099957,0.393459972,248.3759359,5.514943469,-18.65332438,-6.271
Apr-02,0.3962,-0.925836145,115.671344,4.750752928,1.486755769,0.39659641,247.4723775,5.51129897,-6.354821881,-4.592
May-02,0.4053,-0.903127745,116.8914097,4.761245381,1.489141547,0.398199811,247.5731787,5.51170621,-13.96700856,-4.327
Jun-02,0.4217,-0.863461118,119.1049278,4.780004851,1.485331194,0.395637774,250.1805798,5.522182976,-25.47490447,-4.688
Jul-02,0.4268,-0.85143976,118.7235918,4.776798033,1.474660065,0.388427499,250.2017406,5.522267555,-21.77976894,-4.68
Aug-02,0.4385,-0.824395467,113.7459959,4.733967856,1.479287659,0.39156066,249.8951585,5.521041464,-6.742235555,-4.858
Sep-02,0.4281,-0.848398466,107.9615507,4.681775152,1.479287659,0.39156066,246.5350242,5.507504069,-26.49438816,-5.133
Oct-02,0.4306,-0.842575694,105.3295039,4.657093568,1.473969309,0.387958972,245.0904403,5.501627286,-36.26319218,-5.202
Nov-02,0.4384,-0.824623543,107.7143322,4.679482651,1.47174277,0.386447256,244.853515,5.500660134,-23.22677294,-5.177
Dec-02,0.4428,-0.814637078,112.8429046,4.725996627,1.467309809,0.383430663,234.7894688,5.458689235,398.2620187,-5.064
Jan-03,0.4521,-0.793851885,117.1656512,4.763588756,1.456131186,0.375783046,239.2573387,5.477539704,-2.041605481,-5.081
Feb-03,0.462,-0.772190388,116.847573,4.76087029,1.451552157,0.372633437,240.6837332,5.483483761,-34.52951395,-5.582
Mar-03,0.447,-0.805196684,114.3113416,4.738925792,1.451778029,0.372789032,239.0869573,5.476827324,-14.78287164,-6.087
Apr-03,0.4408,-0.819164021,112.3016479,4.721188535,1.452002554,0.372943675,242.3467535,5.490369566,-10.20244181,-7.266
May-03,0.451,-0.796287939,113.0779248,4.728077181,1.455037042,0.375031358,239.4765793,5.478455622,-76.67967399,-6.492
Jun-03,0.449,-0.800732391,114.6914972,4.742245891,1.439756868,0.364474258,230.6665673,5.440973236,-63.38456799,-5.492
Jul-03,0.4547,-0.788117418,114.0056055,4.736247619,1.436744824,0.362380016,241.9499956,5.488731075,-14.24084741,-5.153
Aug-03,0.4702,-0.754597143,109.3147121,4.694230989,1.435509797,0.361520046,241.4279474,5.486571074,-18.97180645,-5.135
Sep-03,0.4961,-0.70097776,104.0506787,4.644878076,1.437011377,0.362565524,238.9551123,5.47627572,107.8327379,-5.235
Oct-03,0.508,-0.677273831,101.7536929,4.622555117,1.434895012,0.361091684,239.2275337,5.477415123,-151.5191949,-5.572
Nov-03,0.5117,-0.670016763,104.0724427,4.645087221,1.425299058,0.354381657,234.0654225,5.45560066,-18.71211019,-6.359
Dec-03,0.5188,-0.656236827,108.7641595,4.689181863,1.422612068,0.352494666,229.450378,5.435686788,-62.88288033,-6.454
Jan-04,0.5293,-0.6361999,112.4172774,4.722217639,1.415475569,0.347465565,229.5416688,5.436084576,-6.721178677,-6.113
Feb-04,0.5137,-0.666115842,111.5470912,4.714446844,1.411348818,0.344545855,231.4252612,5.444256976,-39.31576543,-6.236
Mar-04,0.5334,-0.628483667,108.6561062,4.688187906,1.412258268,0.345190032,229.6820186,5.436695825,-17.37032433,-7.536
Apr-04,0.5087,-0.675896827,106.7172882,4.670183171,1.408158825,0.342283053,229.5064552,5.435931156,-11.9521083,-7.33
May-04,0.5064,-0.680428408,107.8950389,4.681158892,1.405556442,0.340433268,227.6689012,5.427892386,-25.73636146,-7.004
Jun-04,0.5192,-0.655466114,110.1189889,4.701561499,1.390393775,0.329586999,226.9739262,5.424835148,-21.56505441,-7.304
Jul-04,0.4999,-0.693347201,109.9464049,4.699993019,1.370369252,0.315080231,229.8213578,5.437302302,-15.06248963,-7.466
Aug-04,0.5116,-0.670212209,105.4193127,4.657945852,1.366018989,0.311900662,230.4426452,5.440002004,-19.3520257,-7.061
Sep-04,0.5083,-0.676683455,100.0446283,4.60561637,1.364557022,0.31082985,229.2744032,5.434919553,-60.1610892,-7.524
Oct-04,0.5302,-0.634500985,97.57193082,4.580589858,1.365947095,0.311848031,227.1065557,5.425419316,-39.45277424,-7.736
Nov-04,0.5467,-0.603855073,99.77379037,4.602905527,1.353667487,0.302817566,227.3799778,5.426622529,186.7460067,-7.782
Dec-04,0.546,-0.605136303,104.4258636,4.648477381,1.339197757,0.292070746,223.2705674,5.408384343,763.5165016,-7.69
Jan-05,0.5333,-0.628671161,108.0602892,4.682689304,1.329070453,0.28447979,206.8934449,5.332203902,-7.905909512,-7.555
Feb-05,0.5201,-0.653734178,107.1565378,4.674290736,1.31766651,0.275862377,206.8708864,5.332094862,-44.68454182,-6.679
Mar-05,0.5098,-0.673736787,104.4428269,4.648639811,1.320029157,0.277653825,204.9822312,5.322923298,-17.11823989,-6.535
Apr-05,0.5126,-0.668259465,102.7419144,4.632220158,1.31782836,0.2759852,205.4939094,5.325416396,-9.509698635,-6.548
May-05,0.5037,-0.685774426,104.3640573,4.647885338,1.313861584,0.272970575,202.1784876,5.309150909,-5.024903832,-6.023
Jun-05,0.5061,-0.681021001,107.2067347,4.674759071,1.301324313,0.263382448,199.4507425,5.295567301,-8.767761066,-5.714
Jul-05,0.5006,-0.6919479,107.5758928,4.678196578,1.291277995,0.255632422,199.633366,5.296482514,-22.73006404,-5.627
Aug-05,0.5049,-0.683394889,103.2993606,4.637631187,1.287480437,0.252687159,197.550558,5.285994541,-1.228810075,-5.528
Sep-05,0.4961,-0.70097776,97.97451553,4.584707399,1.289826695,0.254507864,199.9560095,5.29809739,-12.4613237,-5.707
Oct-05,0.477,-0.740238788,95.50364904,4.559164457,1.284708335,0.250531716,199.3770039,5.295197524,-13.56358158,-5.769
Nov-05,0.4514,-0.795401415,97.71499807,4.582055059,1.270916187,0.239738047,196.7261383,5.281812601,-15.02634168,-5.299
Dec-05,0.4503,-0.797841252,102.3020741,4.627929947,1.26891912,0.238165452,191.7743927,5.256319643,-20.67608175,-4.872
Jan-06,0.445,-0.809680997,105.6139387,4.659790358,1.258705662,0.23008394,192.8516635,5.261921311,19.67053792,-4.8084
Feb-06,0.4483,-0.802292628,104.0403122,4.644778441,1.243435196,0.217877869,190.721303,5.250813216,238.9406941,-5.046
Mar-06,0.4371,-0.827593277,100.6913691,4.612060087,1.241263191,0.216129563,190.2022946,5.248088214,-154.143455,-4.8725
Apr-06,0.4542,-0.789217649,98.46561569,4.589707408,1.242280961,0.216949174,188.373103,5.238424587,-10.65092363,-4.596
May-06,0.4695,-0.75608698,99.81145207,4.603282927,1.243008484,0.217534638,180.6054202,5.196314652,-5.508884401,-4.57
Jun-06,0.4652,-0.765287858,102.5916678,4.630756719,1.235121374,0.211169244,176.1545376,5.171361664,-14.52987963,-6.15
Jul-06,0.4502,-0.798063351,103.0427088,4.635143551,1.228128393,0.205491379,175.3633398,5.166860049,-18.69069643,-5.636
Aug-06,0.435,-0.832409248,98.88298603,4.593937192,1.237149273,0.21280976,174.5956074,5.162472485,-2.735673378,-4.971
Sep-06,0.4302,-0.843505062,93.7181513,4.540291888,1.235585241,0.211544737,171.8294172,5.146502224,-49.46329231,-5.008
Oct-06,0.4241,-0.857786003,91.40091502,4.51525549,1.229901367,0.206933977,168.7764872,5.128575278,-11.13899628,-5.022
Nov-06,0.4276,-0.8495671,93.68108089,4.539896257,1.220404315,0.19918221,162.9565421,5.093483553,-16.50416749,-4.335
Dec-06,0.4131,-0.884065585,98.24403012,4.587454487,1.220150127,0.198973906,155.1223002,5.044213839,-19.78254842,-3.616
Jan-07,0.4032,-0.908322562,101.4447874,4.619514684,1.2115042,0.191862728,153.0313148,5.030642573,0.17819131,-2.943
Feb-07,0.4095,-0.892818376,99.69420457,4.602107547,1.203636711,0.185347567,152.8123891,5.029210954,268.0379515,-2.276
Mar-07,0.4093,-0.893306895,96.20233751,4.566453656,1.205944162,0.187262797,150.4469563,5.013610572,-176.0859435,-2.312
Apr-07,0.3976,-0.922308804,93.86854027,4.541895296,1.208245866,0.18916961,147.0797931,4.99097525,-35.9162185,-2.271
May-07,0.3803,-0.966794864,95.13929973,4.555342131,1.210541844,0.191068064,150.3264904,5.012809531,-20.45041446,-2.361
Jun-07,0.3762,-0.977634362,97.83862474,4.583319435,1.202029086,0.184011033,147.2954316,4.992440308,-19.38743703,-2.561
Jul-07,0.383,-0.95972029,98.16683518,4.586668431,1.191918219,0.175563958,148.5394977,5.000850901,-7.483930724,-2.781
Aug-07,0.403,-0.908818717,93.83251755,4.541511465,1.198171725,0.180796833,153.8853309,5.036207721,-7.478068954,-2.879
Sep-07,0.3898,-0.942121492,88.57631798,4.48386453,1.201122887,0.183256858,153.8001448,5.035653999,-39.48863445,-2.914
Oct-07,0.3834,-0.958676448,86.32465877,4.45811529,1.20214997,0.184111595,152.7129715,5.028560156,-17.70487456,-2.908
Nov-07,0.3887,-0.944947441,88.8969586,4.48747793,1.197950742,0.180612382,148.81734,5.002719648,-6.096283085,-2.819
Dec-07,0.3642,-1.010052112,93.94923441,4.542754577,1.193343011,0.176758621,135.2698755,4.907271861,-14.5402336,-2.789
Jan-08,0.3819,-0.962596485,97.65571565,4.581448188,1.174885505,0.161170701,147.1094349,4.991176765,1.208715957,-2.823
Feb-08,0.3832,-0.959198233,95.99891191,4.564336857,1.166818818,0.154281087,146.3365169,4.985908879,-21.45651203,-2.925
Mar-08,0.4219,-0.86298696,92.09849784,4.522858633,1.164721424,0.152481938,142.7532707,4.96111776,-10.33370492,-3.11
Apr-08,0.4055,-0.902634405,89.29049098,4.491894998,1.155257595,0.144323345,144.1413429,4.970794366,-7.537429385,-3.39
May-08,0.4157,-0.877791433,89.96127665,4.499379318,1.159402931,0.147905158,142.979744,4.96270297,-5.392797964,-3.762
Jun-08,0.422,-0.862749965,92.05161742,4.522349479,1.158576427,0.147192034,138.7109101,4.932391984,-1.138881299,-4.24
Jul-08,0.4084,-0.895508193,92.13619827,4.523267898,1.152867581,0.142252387,139.9361218,4.941186045,-0.493160573,-4.849
Aug-08,0.417,-0.874669057,88.08213381,4.478269718,1.149738105,0.139534182,138.9288803,4.933962149,4.208392777,-5.56
Sep-08,0.4503,-0.797841252,83.04365767,4.419366466,1.145768929,0.136075965,135.2798678,4.907345728,-0.177663874,-6.156
Oct-08,0.4947,-0.703803761,80.4310605,4.387400426,1.140659551,0.131606649,134.0665387,4.898336234,1.113460823,-6.427
Nov-08,0.5125,-0.668454568,81.80680347,4.404360412,1.12756578,0.120061132,129.6644732,4.864950139,-69.95427634,-6.202
Dec-08,0.5221,-0.649896139,85.37312351,4.447031338,1.124192679,0.117065159,123.7973375,4.818645854,4.47549664,-5.382
Jan-09,0.5232,-0.647791479,88.03853098,4.477774571,1.108206419,0.102742869,129.5090512,4.863750772,11.12458744,-3.927
Feb-09,0.4904,-0.712533894,86.60633404,4.461372954,1.100990546,0.096210271,129.5744139,4.864255341,-1.115700046,-3.551
Mar-09,0.4983,-0.696552974,83.74614622,4.427790154,1.104445537,0.099343433,129.0302578,4.860046933,0.129558046,-3.758
Apr-09,0.4993,-0.694548161,81.91813662,4.405720415,1.099378994,0.094745469,129.4834161,4.863552812,-1.681517628,-3.72
May-09,0.4909,-0.711514838,83.11695522,4.420248715,1.097088621,0.092659963,128.3884352,4.855060319,-4.631682851,-3.724
Jun-09,0.5032,-0.686767574,85.62347707,4.44995951,1.091116191,0.087201201,125.2332774,4.830178217,-6.052330575,-3.877
